,Document 1,Document 2
as,0.03831734819237052,0.1826479340305005
man,0.012772449397456842,0.010743996119441206
of,0.2203247521061305,0.2041359262693829
and,0.41510460541734734,0.02148799223888241
not,0.0894071457821979,0.07520797283608843
but,0.0894071457821979,0.05371998059720603
feel,0.006386224698728421,0.02148799223888241
he,0.33527679668324206,0.3975278564193246
the,0.5140910882476378,0.08595196895552965
father,0.0894071457821979,0.010743996119441206
with,0.09579337048092632,0.010743996119441206
felt,0.028738011144277893,0.010743996119441206
ashamed,0.006386224698728421,0.010743996119441206
his,0.16604184216693893,0.08595196895552965
that,0.1500762804201179,0.010743996119441206
ought,0.0031931123493642104,0.010743996119441206
to,0.3097318978883284,0.1719039379110593
too,0.028738011144277893,0.03223198835832362
been,0.035124235843006314,0.03223198835832362
by,0.03831734819237052,0.1826479340305005
him,0.07663469638474105,0.07520797283608843
in,0.20116607800994527,0.32231988358323616
so,0.07024847168601263,0.22562391850826533
himself,0.03831734819237052,0.010743996119441206
were,0.04151046054173473,0.02148799223888241
any,0.006386224698728421,0.03223198835832362
case,0.006386224698728421,0.02148799223888241
on,0.06386224698728421,0.1933919301499417
if,0.012772449397456842,0.08595196895552965
here,0.025544898794913683,0.010743996119441206
is,0.08302092108346946,0.13967194955273568
why,0.025544898794913683,0.04297598447776482
be,0.060669134637919994,0.10743996119441206
friendly,0.0031931123493642104,0.02148799223888241
everything,0.006386224698728421,0.03223198835832362
show,0.006386224698728421,0.010743996119441206
nothing,0.015965561746821053,0.010743996119441206
do,0.031931123493642105,0.2363679146277065
merely,0.0031931123493642104,0.010743996119441206
just,0.006386224698728421,0.010743996119441206
they,0.031931123493642105,0.03223198835832362
at,0.07982780873410526,0.2363679146277065
was,0.1532693927694821,0.04297598447776482
had,0.09579337048092632,0.03223198835832362
indeed,0.006386224698728421,0.03223198835832362
these,0.00957933704809263,0.03223198835832362
though,0.015965561746821053,0.02148799223888241
it,0.1500762804201179,0.26859990298603015
for,0.08621403343283368,0.06446397671664723
only,0.022351786445549474,0.010743996119441206
two,0.01915867409618526,0.03223198835832362
rooms,0.006386224698728421,0.010743996119441206
however,0.0031931123493642104,0.02148799223888241
no,0.054282909939191576,0.24711191074714772
great,0.012772449397456842,0.010743996119441206
furniture,0.0031931123493642104,0.010743996119441206
covered,0.0031931123493642104,0.010743996119441206
old,0.028738011144277893,0.06446397671664723
style,0.006386224698728421,0.010743996119441206
even,0.01915867409618526,0.02148799223888241
most,0.025544898794913683,0.010743996119441206
well,0.015965561746821053,0.010743996119441206
excellent,0.0031931123493642104,0.010743996119441206
both,0.0031931123493642104,0.010743996119441206
latter,0.0031931123493642104,0.010743996119441206
little,0.00957933704809263,0.03223198835832362
then,0.00957933704809263,0.010743996119441206
way,0.006386224698728421,0.02148799223888241
out,0.01915867409618526,0.05371998059720603
all,0.060669134637919994,0.06446397671664723
an,0.0031931123493642104,0.13967194955273568
aware,0.006386224698728421,0.010743996119441206
own,0.015965561746821053,0.07520797283608843
knew,0.012772449397456842,0.02148799223888241
would,0.022351786445549474,0.010743996119441206
who,0.015965561746821053,0.02148799223888241
see,0.00957933704809263,0.04297598447776482
highest,0.0031931123493642104,0.010743996119441206
neither,0.006386224698728421,0.010743996119441206
nor,0.00957933704809263,0.04297598447776482
dinner,0.012772449397456842,0.010743996119441206
one,0.028738011144277893,0.02148799223888241
waiting,0.006386224698728421,0.03223198835832362
other,0.006386224698728421,0.010743996119441206
guest,0.006386224698728421,0.03223198835832362
stood,0.00957933704809263,0.010743996119441206
tall,0.0031931123493642104,0.010743996119441206
still,0.012772449397456842,0.010743996119441206
long,0.0031931123493642104,0.010743996119441206
face,0.00957933704809263,0.03223198835832362
time,0.012772449397456842,0.010743996119441206
blessing,0.0031931123493642104,0.04297598447776482
tried,0.0031931123493642104,0.02148799223888241
through,0.0031931123493642104,0.03223198835832362
simple,0.0031931123493642104,0.010743996119441206
hearted,0.0031931123493642104,0.04297598447776482
manner,0.0031931123493642104,0.010743996119441206
must,0.01915867409618526,0.010743996119441206
having,0.0031931123493642104,0.010743996119441206
without,0.015965561746821053,0.010743996119441206
you,0.1883936286124884,0.08595196895552965
son,0.022351786445549474,0.06446397671664723
words,0.012772449397456842,0.010743996119441206
fact,0.0031931123493642104,0.010743996119441206
doubt,0.0031931123493642104,0.03223198835832362
therefore,0.0031931123493642104,0.010743996119441206
regret,0.0031931123493642104,0.010743996119441206
me,0.08621403343283368,0.08595196895552965
make,0.0031931123493642104,0.010743996119441206
what,0.035124235843006314,0.010743996119441206
has,0.025544898794913683,0.04297598447776482
former,0.0031931123493642104,0.010743996119441206
humanity,0.0031931123493642104,0.010743996119441206
again,0.031931123493642105,0.010743996119441206
head,0.00957933704809263,0.02148799223888241
perhaps,0.00957933704809263,0.02148799223888241
our,0.01915867409618526,0.03223198835832362
might,0.015965561746821053,0.02148799223888241
like,0.00957933704809263,0.010743996119441206
we,0.022351786445549474,0.11818395731385326
say,0.022351786445549474,0.010743996119441206
their,0.0031931123493642104,0.02148799223888241
played,0.015965561746821053,0.02148799223888241
meant,0.0031931123493642104,0.02148799223888241
really,0.006386224698728421,0.010743996119441206
dine,0.0031931123493642104,0.010743996119441206
yet,0.006386224698728421,0.03223198835832362
meet,0.0031931123493642104,0.010743996119441206
am,0.054282909939191576,0.15041594567217687
are,0.031931123493642105,0.04297598447776482
every,0.0031931123493642104,0.010743996119441206
how,0.01915867409618526,0.02148799223888241
past,0.0031931123493642104,0.03223198835832362
asked,0.0031931123493642104,0.04297598447776482
answered,0.0031931123493642104,0.010743996119441206
tell,0.0031931123493642104,0.010743996119441206
done,0.0031931123493642104,0.010743996119441206
ever,0.00957933704809263,0.010743996119441206
since,0.006386224698728421,0.010743996119441206
now,0.028738011144277893,0.04297598447776482
eyes,0.0031931123493642104,0.010743996119441206
may,0.006386224698728421,0.07520797283608843
myself,0.006386224698728421,0.010743996119441206
think,0.0031931123493642104,0.010743996119441206
while,0.012772449397456842,0.010743996119441206
limits,0.0031931123493642104,0.010743996119441206
sometimes,0.006386224698728421,0.010743996119441206
laughing,0.006386224698728421,0.010743996119441206
looked,0.0031931123493642104,0.010743996119441206
gone,0.0031931123493642104,0.04297598447776482
from,0.035124235843006314,0.02148799223888241
mind,0.00957933704809263,0.02148799223888241
instantly,0.0031931123493642104,0.02148799223888241
certainly,0.0031931123493642104,0.010743996119441206
or,0.006386224698728421,0.09669596507497084
welcome,0.0031931123493642104,0.010743996119441206
my,0.05108979758982737,0.12892795343329447
impossible,0.00957933704809263,0.010743996119441206
does,0.0031931123493642104,0.010743996119441206
right,0.00957933704809263,0.010743996119441206
mean,0.006386224698728421,0.010743996119441206
house,0.0031931123493642104,0.03223198835832362
believe,0.0031931123493642104,0.02148799223888241
such,0.006386224698728421,0.010743996119441206
called,0.0031931123493642104,0.010743996119441206
age,0.00957933704809263,0.03223198835832362
up,0.028738011144277893,0.10743996119441206
heard,0.0031931123493642104,0.02148799223888241
excuse,0.0031931123493642104,0.010743996119441206
allow,0.0031931123493642104,0.02148799223888241
want,0.012772449397456842,0.02148799223888241
vanity,0.0031931123493642104,0.010743996119441206
listening,0.0031931123493642104,0.010743996119441206
get,0.012772449397456842,0.02148799223888241
can,0.012772449397456842,0.010743996119441206
explain,0.0031931123493642104,0.010743996119441206
did,0.022351786445549474,0.07520797283608843
along,0.0031931123493642104,0.010743996119441206
spot,0.006386224698728421,0.02148799223888241
respect,0.0031931123493642104,0.02148799223888241
paid,0.0031931123493642104,0.02148799223888241
spirit,0.0031931123493642104,0.010743996119441206
put,0.006386224698728421,0.05371998059720603
speaking,0.0031931123493642104,0.03223198835832362
soon,0.0031931123493642104,0.010743996119441206
talking,0.006386224698728421,0.03223198835832362
evil,0.0031931123493642104,0.02148799223888241
formal,0.0031931123493642104,0.010743996119441206
expect,0.0031931123493642104,0.010743996119441206
world,0.0031931123493642104,0.010743996119441206
society,0.0031931123493642104,0.010743996119441206
yourself,0.006386224698728421,0.02148799223888241
expense,0.0031931123493642104,0.010743996119441206
find,0.0031931123493642104,0.03223198835832362
something,0.0031931123493642104,0.010743996119441206
provided,0.0031931123493642104,0.03223198835832362
kept,0.00957933704809263,0.02148799223888241
silent,0.00957933704809263,0.010743996119441206
coming,0.0031931123493642104,0.010743996119441206
tears,0.0031931123493642104,0.010743996119441206
set,0.0031931123493642104,0.04297598447776482
wife,0.0031931123493642104,0.010743996119441206
hundred,0.006386224698728421,0.010743996119441206
never,0.006386224698728421,0.02148799223888241
almost,0.0031931123493642104,0.010743996119441206
draw,0.0031931123493642104,0.04297598447776482
upon,0.0031931123493642104,0.02148799223888241
rest,0.006386224698728421,0.010743996119441206
order,0.0031931123493642104,0.010743996119441206
saw,0.006386224698728421,0.010743996119441206
far,0.0031931123493642104,0.04297598447776482
off,0.0031931123493642104,0.05371998059720603
sight,0.0031931123493642104,0.010743996119441206
day,0.0031931123493642104,0.010743996119441206
late,0.0031931123493642104,0.010743996119441206
brother,0.0031931123493642104,0.010743996119441206
feet,0.006386224698728421,0.02148799223888241
taken,0.0031931123493642104,0.010743996119441206
minutes,0.006386224698728421,0.010743996119441206
waited,0.0031931123493642104,0.010743996119441206